sweep,propellant,P_inj_bar,isp_conv_s,isp_det_s,isp_gain_pct,pressure_gain_x
pressure,H2/O2,10,300.4,429.0,42.81,10.31
pressure,H2/O2,20,338.8,454.0,33.99,10.51
pressure,H2/O2,30,358.2,466.7,30.27,10.63
pressure,H2/O2,50,380.0,480.9,26.57,10.77
pressure,H2/O2,70,392.8,489.3,24.59,10.86
pressure,H2/O2,100,405.1,497.5,22.8,10.95
pressure,H2/O2,150,417.8,505.9,21.09,11.04
pressure,H2/O2,200,426.0,511.4,20.04,11.11
pressure,H2/O2,250,432.0,515.4,19.31,11.15
pressure,H2/O2,300,436.6,518.5,18.76,11.19
pressure,CH4/O2,10,235.7,353.5,49.95,16.43
pressure,CH4/O2,20,266.7,373.7,40.1,16.78
pressure,CH4/O2,30,282.7,384.4,35.94,16.98
pressure,CH4/O2,50,301.2,396.6,31.69,17.22
pressure,CH4/O2,70,312.4,404.0,29.32,17.38
pressure,CH4/O2,100,323.5,411.1,27.1,17.54
pressure,CH4/O2,150,335.2,418.6,24.89,17.72
pressure,CH4/O2,200,342.9,423.5,23.49,17.84
pressure,CH4/O2,250,348.6,427.1,22.5,17.93
pressure,CH4/O2,300,353.0,429.8,21.75,18.0
